frequency;power
3002;-55
3003;-20
3006;-75
3010;-77
3012;-42
3018;-101
3020;-30
3028;-69
3030;-88
3031;-64
3033;-43
3036;-84
3037;-17
3039;-107
3041;-42
3045;-105
3047;-1
3049;-92
3050;-103
3054;-104
3056;-64
3058;-47
3059;-56
3062;
3063;-52
3064;-29
3065;-27
3067;-111
3069;-30
3070;-44
3074;-52
3077;-47
3079;-75
3081;-10
3090;-85
3091;-23
3092;-18
3095;-107
3099;-55
3100;-91
3101;-34
3109;-37
3110;-120
3113;-63
3114;-77
3116;-91
3117;-93
3118;-90
3119;-48
3123;-2
3124;-7
3126;-4
3129;-15
3130;-62
3135;-20
3137;-86
3138;-113
3139;-18
3140;-37
3143;-85
3146;-78
3147;-116
3150;-89
3153;-13
3155;
3156;-92
3157;-46
3161;-79
3167;-95
3169;-28
3170;-15
3175;-25
3177;-84
3180;-16
3182;-37
3184;-33
3189;-91
3190;-77
3193;-1
3196;-23
3197;-76
3198;-81
3199;-76
3200;-80
3202;-68
3203;-81
3207;-92
3208;-60
3212;-97
3213;-108
3214;-34
3215;-88
3216;-109
3218;-84
3219;-115
3221;-20
3224;-45
3225;-63
3226;-44
3227;-3
3229;-29
3232;-24
3233;-2
3235;-4
3237;-45
3239;-17
3240;-62
3242;-35
3245;-115
3248;-90
3249;-8
3250;-71
3251;-51
3254;-44
3256;-70
3257;-19
3262;-49
3267;-42
3268;-74
3273;-5
3274;-17
3280;-2
3281;-87
3283;-38
3288;-54
3289;-20
3292;-22
3293;-86
3294;-98
3295;-14
3297;-37
3298;-66
3299;-107
3303;-20
3304;-68
3309;-23
3311;-102
3312;-89
3314;-15
3315;-19
3316;-67
3317;-83
3318;-83
3319;-20
3320;-38
3322;-17
3323;-66
3325;-65
3329;-3
3332;-72
3333;-99
3334;-67
3336;-90
3341;-37
3342;-113
3354;-60
3357;-60
3360;-94
3364;-113
3367;-112
3368;-46
3370;-58
3373;-27
3374;-78
3376;-53
3380;-83
3387;-68
3389;-118
3390;-22
3391;-93
3392;-43
3393;-78
3394;-32
3396;-74
3397;-35
3398;-73
3399;-63
3400;-87
3401;-44
3403;-19
3405;-47
3407;-120
3412;-20
3413;-36
3414;-80
3416;-102
3418;-41
3419;-44
3420;-18
3422;-60
3423;-7
3424;-31
3427;-117
3428;-68
3429;-55
3433;-108
3436;-103
3439;-85
3440;-93
3443;-59
3444;-112
3445;-35
3449;-30
3450;-29
3451;-23
3452;-84
3453;-102
3454;-71
3455;-2
3457;-21
3459;-9
3461;-35
3464;-35
3468;-89
3469;-4
3472;-97
3473;-70
3474;-3
3478;-5
3479;-60
3482;-41
3483;-65
3485;-50
3487;-37
3489;-106
3490;-91
3491;-66
3492;-92
3496;-73
3497;-15
3499;-68
3501;-57
3505;-67
3506;-39
3509;-61
3512;-104
3514;-3
3516;-93
3517;-2
3518;-54
3519;-72
3521;-56
3522;-96
3524;-67
3526;-74
3528;-74
3529;-68
3530;-37
3532;-16
3535;-37
3536;-44
3537;-47
3538;-42
3539;-116
3540;-97
3544;-46
3546;-82
3547;-32
3549;-52
3551;-87
3563;-33
3564;-80
3566;-37
3570;-40
3572;-24
3576;-30
3582;-114
3583;-42
3585;-49
3587;-110
3588;-73
3590;-63
3591;-9
3596;-67
3599;-115
3601;-21
3603;-95
3604;-22
3606;-84
3607;-74
3608;-45
3613;-20
3615;-1
3616;-4
3617;-77
3621;-87
3622;-55
3623;-3
3625;-100
3626;-106
3631;-56
3633;-95
3634;-36
3635;-105
3637;-98
3639;-109
3642;-63
3643;-117
3644;-18
3645;-33
3646;-54
3648;-32
3650;-69
3651;-41
3653;-48
3655;-108
3658;-93
3659;-14
3661;-60
3663;-46
3665;-111
3666;-28
3667;-81
3670;-48
3671;-103
3672;-77
3673;-92
3675;-74
3677;-104
3679;-19
3680;-18
3682;-107
3685;-47
3686;-47
3691;-29
3693;-12
3694;-48
3695;-59
3696;-91
3697;-10
3702;-98
3703;-50
3704;-14
3707;-62
3717;-42
3720;-86
3722;-21
3723;-82
3724;-82
3725;-92
3726;-50
3727;-91
3732;-103
3733;-14
3735;-68
3736;-83
3737;-16
3740;-12
3742;-22
3744;-73
3746;-5
3748;-91
3750;-83
3751;-106
3752;-5
3753;-31
3755;-31
3757;-12
3758;-42
3759;-43
3760;-6
3762;-117
3765;-119
3766;-113
3767;-71
3773;-56
3774;-57
3777;-110
3778;-12
3782;-27
3783;-66
3784;-67
3786;-34
3790;-90
3791;-79
3792;-44
3794;-24
3795;-27
3797;-51
3799;-21
3801;-73
3803;-25
3804;-47
3806;-37
3808;-14
3809;-71
3810;-48
3816;-37
3818;-102
3823;-75
3824;-22
3825;-55
3827;-66
3828;-26
3830;-87
3831;-18
3835;-62
3836;-34
3837;-105
3838;-103
3840;-16
3842;-1
3843;-118
3848;-54
3850;-83
3851;-109
3852;-59
3853;-44
3855;-115
3856;-76
3857;-73
3858;-22
3859;
3861;-105
3863;-4
3865;-112
3871;-1
3877;-102
3880;
3881;-62
3882;-116
3884;-15
3888;-110
3889;-116
3890;-50
3891;-34
3893;-22
3894;-85
3895;-51
3896;-49
3897;-18
3898;-95
3900;-86
3904;-3
3908;-15
3912;-2
3913;-16
3914;-25
3916;-40
3917;-38
3919;-30
3922;-64
3925;-24
