frecuencia;potencia
3001;-4
3007;-61
3008;-39
3013;-109
3014;-106
3015;-48
3021;-122
3022;-91
3023;-51
3025;-116
3026;-12
3027;-128
3029;-46
3035;-40
3037;-114
3040;-90
3041;-121
3042;-75
3043;-108
3044;-78
3045;-112
3046;-101
3047;-96
3049;-23
3053;-114
3055;-65
3057;-126
3058;-82
3059;-56
3065;-106
3066;-27
3067;-123
3071;-104
3075;-105
3077;-40
3079;-63
3081;-37
3082;-54
3083;-67
3084;-75
3085;-64
3087;-39
3091;-93
3092;-122
3095;-126
3098;-49
3099;-32
3100;-89
3101;-118
3104;-123
3108;-24
3109;-12
3110;-122
3111;-50
3112;-86
3115;-1
3117;-40
3118;-60
3119;-94
3120;-105
3123;-69
3124;-11
3127;-60
3128;-4
3130;-8
3132;-81
3134;-48
3136;-90
3141;-49
3142;-70
3143;-100
3146;-2
3148;-27
3150;-99
3153;-57
3154;-71
3156;-74
3159;-42
3160;-76
3164;-119
3165;-53
3166;-41
3169;-126
3172;-80
3173;-73
3174;-123
3175;-70
3178;-55
3179;-123
3180;-100
3184;-51
3185;-17
3186;-63
3187;-100
3188;-119
3192;-22
3193;-76
3194;-11
3195;-120
3197;-96
3200;-30
3203;-113
3204;-100
3205;-63
3210;-128
3211;-42
3221;-58
3226;-35
3229;
3231;-32
3234;-49
3236;-47
3237;-117
3242;-119
3243;-59
3245;-31
3246;-99
3248;-73
3250;-49
3253;-66
3260;-78
3261;-100
3263;-125
3265;-41
3267;-5
3269;-35
3272;-18
3273;-12
3274;-112
3277;-23
3281;-53
3282;-63
3283;-80
3285;-19
3289;-74
3290;-45
3292;-22
3294;-84
3296;-8
3299;-102
3304;-115
3307;-67
3308;-10
3310;-15
3313;-65
3315;-62
3316;-86
3320;-111
3321;-113
3322;-73
3324;-24
3325;-129
3329;-27
3331;-77
3336;-127
3337;-123
3338;-120
3339;-6
3343;-87
3344;-92
3346;-28
3348;-10
3349;-97
3350;-104
3351;-4
3352;-49
3354;-97
3355;-87
3356;-89
3357;-29
3359;-54
3361;-79
3363;-63
3365;-48
3367;-94
3369;-68
3370;-115
3375;-114
3378;-17
3379;-39
3381;-4
3384;-102
3388;-100
3389;-31
3392;-121
3395;-23
3396;-122
3397;-78
3401;-87
3410;-56
3412;-84
3413;-59
3416;-13
3418;-30
3420;-117
3425;-57
3426;-130
3429;-68
3430;-12
3432;-68
3436;-86
3438;-82
3439;-53
3440;-95
3442;-16
3443;-47
3446;-42
3455;-22
3457;-67
3458;-40
3461;-84
3462;-94
3463;-59
3464;-30
3468;-124
3469;-4
3471;-11
3472;-100
3473;-129
3475;-26
3476;-54
3477;-118
3478;-27
3482;-124
3483;-115
3484;-3
3487;-89
3490;-116
3491;-102
3492;-55
3495;-79
3498;-126
3499;-71
3500;-43
3501;-18
3504;-125
3505;-60
3506;-81
3508;-98
3509;-40
3510;-107
3511;-72
3513;-92
3514;-58
3515;-115
3516;-48
3518;-20
3521;-99
3523;-46
3524;-128
3529;-103
3532;-53
3533;-31
3534;-16
3535;-5
3536;-68
3538;-57
3541;-15
3543;-35
3544;-5
3549;-66
3551;-112
3553;-94
3555;-9
3563;-79
3566;-19
3570;-114
3581;-78
3582;-100
3585;-42
3586;-98
3587;-12
3588;-56
3589;-57
3591;-31
3597;-27
3599;-112
3602;-52
3604;-106
3606;-63
3607;-115
3608;-127
3609;-114
3610;-17
3617;-81
3618;-19
3622;-6
3624;-9
3625;-3
3626;
3627;-75
3629;-56
3631;-9
3632;-77
3633;-21
3634;-115
3636;-1
3637;-67
3641;-116
3643;-45
3644;-116
3645;-79
3646;-109
3647;-2
3648;-13
3650;-121
3651;-125
3653;-65
3658;-75
3659;-39
3660;-44
3661;-71
3663;-52
3664;-89
3665;-92
3666;-7
3668;-73
3672;-90
3673;-62
3675;-63
3677;-70
3678;-56
3681;-109
3682;-69
3686;-66
3688;-26
3690;-3
3691;-25
3692;-21
3694;-101
3698;-109
3699;-17
3701;-101
3706;-83
3713;-75
3714;-56
3716;-82
3718;-54
3719;-30
3723;-45
3729;-108
3730;-69
3731;-23
3733;-10
3734;-73
3736;-64
3737;-37
3741;-35
3744;-84
3747;-73
3748;-81
3755;-57
3756;-111
3758;-75
3759;-11
3760;-81
3765;-24
3767;-52
3770;-27
3771;-10
3772;-84
3775;-122
3777;-73
3779;-20
3781;-108
3782;-64
3783;-41
3787;-124
3788;-61
3790;-51
3791;-102
3792;-117
3795;-12
3797;-42
3799;-95
3806;-41
3807;-109
3808;-41
3809;-109
3810;-109
3812;-119
3814;-57
3815;-82
3816;-74
3818;-5
3820;-47
3822;-23
3823;-123
3824;-102
3825;-50
3828;-90
3831;-41
3833;-87
3834;-33
3836;-60
3837;-121
3839;-124
3842;-43
3845;-88
3849;-102
3853;-63
3854;-19
3857;-125
3858;-88
3860;-67
3863;-67
3867;-77
3870;-63
3873;-118
3874;-6
3875;-53
3877;-52
3879;-56
3880;-67
3881;-128
3882;-20
3883;-117
3885;-84
3886;-45
3888;-23
3890;-117
3892;-33
3894;-85
3896;-58
3897;-29
3898;-57
3899;-24
3900;-25
3901;-59
3902;-115
3903;-126
3907;-45
3910;-75
3913;-43
3917;-35
3919;-81
3921;-36
3922;-32
