frequency;power
3000;-86
3001;-94
3002;-118
3005;-12
3006;-72
3007;-92
3008;-31
3009;-40
3011;-78
3012;-112
3013;-87
3014;-49
3015;-98
3016;-95
3018;-13
3020;-46
3021;-85
3025;-31
3027;-111
3035;-19
3037;-71
3038;-36
3040;-72
3045;-62
3048;-61
3049;-83
3050;-78
3056;-28
3057;-75
3060;-1
3064;-114
3065;-104
3066;-117
3067;-108
3068;-42
3070;-105
3071;-73
3072;-50
3073;-47
3075;-22
3078;-22
3079;-85
3083;-30
3084;-106
3087;-114
3088;-86
3089;-88
3090;-74
3091;-105
3093;-117
3094;-87
3095;-5
3096;-69
3097;-40
3098;-105
3100;-64
3101;-22
3102;-76
3103;-16
3104;-67
3105;-13
3108;-109
3110;-116
3111;-44
3113;-80
3115;-108
3116;-79
3117;-10
3119;-4
3120;-82
3124;-79
3125;-73
3127;-24
3130;-39
3131;-31
3136;-22
3139;-28
3140;-68
3141;-101
3145;-58
3147;-20
3151;-67
3153;-60
3154;-16
3156;-42
3157;-94
3159;-59
3160;-101
3162;-50
3163;-43
3165;-45
3171;-112
3173;-58
3180;-35
3184;-78
3185;-12
3186;-76
3187;-83
3188;-33
3194;-74
3198;-7
3201;-80
3205;-25
3206;-51
3207;-56
3213;-11
3216;-45
3217;-39
3223;-8
3224;-98
3225;-107
3233;-30
3235;-103
3236;-39
3238;-68
3242;-97
3244;-71
3245;-7
3246;-2
3248;-77
3250;-68
3254;-9
3258;-37
3260;-68
3261;-14
3266;-56
3267;-99
3269;-66
3271;-62
3272;-24
3273;-117
3277;-47
3279;-110
3280;-110
3284;-35
3285;-103
3286;-86
3287;-110
3290;-72
3292;-94
3293;-40
3298;-33
3304;-26
3306;-43
3307;-14
3309;-25
3312;-12
3314;-87
3316;-103
3318;-49
3319;-22
3321;-68
3322;-7
3323;-55
3324;-21
3326;-47
3327;-91
3329;-64
3335;-119
3336;-76
3338;-98
3340;-103
3341;-23
3342;-59
3344;-107
3347;-101
3348;-49
3349;-1
3351;-64
3352;-76
3353;-67
3356;-71
3357;-31
3358;-24
3359;-100
3360;-105
3362;-116
3363;-102
3367;-18
3368;-110
3371;-24
3372;-68
3376;-97
3378;-26
3381;-84
3385;-3
3386;-58
3387;-3
3388;-51
3390;-118
3392;-56
3395;-76
3396;
3401;-88
3404;-20
3406;-40
3410;-15
3414;-100
3416;-1
3417;-75
3418;-1
3421;-51
3424;-28
3426;-84
3427;-109
3434;-12
3437;-60
3439;-118
3441;-45
3442;-22
3446;-92
3449;-24
3451;-72
3452;-32
3453;-1
3454;-39
3457;-28
3459;-61
3462;-20
3463;-87
3464;-54
3468;-119
3470;-26
3472;-114
3474;-33
3475;-112
3476;
3480;-11
3483;-67
3484;-78
3486;-11
3489;-109
3490;-17
3491;-77
3496;-59
3498;-61
3499;-114
3501;-76
3502;-77
3503;-44
3504;-93
3508;-49
3510;-3
3512;-11
3514;-56
3515;-118
3517;-38
3518;-22
3521;-55
3528;-26
3530;-86
3535;-2
3536;-32
3538;-5
3541;-56
3542;-13
3543;-71
3544;-114
3545;-17
3548;-13
3549;-64
3551;-66
3553;-116
3554;-35
3557;-35
3559;-42
3561;-33
3562;-82
3563;-12
3569;-16
3570;-24
3577;-4
3578;-112
3579;-15
3580;-117
3582;-65
3583;-13
3586;-105
3587;-46
3589;-85
3590;-63
3597;-19
3598;-34
3599;-82
3600;-27
3604;-67
3606;-115
3608;-33
3610;-45
3615;-15
3617;-60
3621;-49
3622;-75
3624;-36
3632;-96
3633;
3634;-112
3636;-49
3642;-105
3643;-47
3646;-59
3653;-29
3654;-35
3656;-70
3657;-105
3659;-42
3663;-89
3665;-59
3666;-63
3667;-85
3669;-26
3675;-95
3676;-80
3677;-107
3683;-94
3685;-28
3687;-19
3689;-84
3690;-27
3692;-7
3694;-38
3696;-59
3697;-10
3698;-98
3699;-1
3701;-43
3702;-43
3703;-89
3704;-35
3705;-83
3707;-20
3711;-47
3713;-13
3716;-47
3718;-112
3722;-9
3724;-80
3727;-89
3728;-70
3729;-11
3730;-101
3731;-81
3732;-93
3733;-22
3735;-108
3736;-25
3739;-35
3742;-1
3743;-22
3744;-24
3745;-117
3749;-83
3753;-117
3756;-50
3758;-81
3763;-33
3765;-28
3767;-19
3769;-52
